label	transformer	mappedInfores	knowledge_source_slot
BiGG	BiGG compound-list producer	infores:bigg-models	biolink:primary_knowledge_source
BiGG	BiGG reactions transformer	infores:bigg-models	biolink:primary_knowledge_source
BiGG	BiGG genes transformer	infores:bigg-models	biolink:primary_knowledge_source
BiGG	BiGG gene_reaction transformer	infores:bigg-models	biolink:primary_knowledge_source
ChEBI	ChEBI compound-list producer	infores:chebi	biolink:primary_knowledge_source
ChemBank	ChemBank compound-list producer	infores:chembank	biolink:primary_knowledge_source
ChEMBL	ChEMBL compound-list producer	infores:chembl	biolink:primary_knowledge_source
ChEMBL	ChEMBL target transformer	infores:chembl	biolink:primary_knowledge_source
ChEMBL	ChEMBL metabolite transformer	infores:chembl	biolink:primary_knowledge_source
ChEMBL	ChEMBL indication transformer	infores:chembl	biolink:primary_knowledge_source
ChEMBL	ChEMBL assay transformer	infores:chembl	biolink:primary_knowledge_source
ChEMBL	ChEMBL mechanism transformer	infores:chembl	biolink:primary_knowledge_source
CMAP	CMAP compound-to-compound expander	infores:cmap	biolink:supporting_data_source
CMAP	CMAP compound-to-gene transformer	infores:cmap	biolink:supporting_data_source
CMAP	CMAP gene-to-compound transformer	infores:cmap	biolink:supporting_data_source
CMAP	CMAP gene-to-gene expander	infores:cmap	biolink:supporting_data_source
CTD	CTD compound-list producer	infores:ctd	biolink:primary_knowledge_source
CTD	CTD disease associations transformer	infores:ctd	biolink:primary_knowledge_source
CTD	CTD gene interactions transformer	infores:ctd	biolink:primary_knowledge_source
CTD	CTD go associations transformer	infores:ctd	biolink:primary_knowledge_source
CTD	CTD pathway associations transformer	infores:ctd	biolink:primary_knowledge_source
CTD	CTD phenotype interactions transformer	infores:ctd	biolink:primary_knowledge_source
CTRP	CTRP compound-list expander	infores:ctrp	biolink:supporting_data_source
DepMap	DepMap co-fitness correlation	infores:depmap	biolink:supporting_data_source
DGIdb	DGIdb compound-list producer	infores:dgidb	biolink:primary_knowledge_source
DGIdb	DGIdb target transformer	infores:dgidb	biolink:primary_knowledge_source
DGIdb	DGIdb inhibitor transformer	infores:dgidb	biolink:primary_knowledge_source
difference	difference	infores:molepro	biolink:aggregator_knowledge_source
DrugBank	DrugBank compound-list producer	infores:drugbank	biolink:primary_knowledge_source
DrugBank	DrugBank molecule-list producer	infores:drugbank	biolink:primary_knowledge_source
DrugBank	DrugBank target genes transformer	infores:drugbank	biolink:primary_knowledge_source
DrugBank	DrugBank enzyme genes transformer	infores:drugbank	biolink:primary_knowledge_source
DrugBank	DrugBank transporter genes transformer	infores:drugbank	biolink:primary_knowledge_source
DrugBank	DrugBank carrier genes transformer	infores:drugbank	biolink:primary_knowledge_source
DrugBank	DrugBank inhibitors transformer	infores:drugbank	biolink:primary_knowledge_source
DrugBank	DrugBank substrates transformer	infores:drugbank	biolink:primary_knowledge_source
DrugBank	DrugBank transporter substrates transformer	infores:drugbank	biolink:primary_knowledge_source
DrugBank	DrugBank carrier substrates transformer	infores:drugbank	biolink:primary_knowledge_source
DrugBank	DrugBank target proteins transformer	infores:drugbank	biolink:primary_knowledge_source
DrugBank	DrugBank enzyme proteins transformer	infores:drugbank	biolink:primary_knowledge_source
DrugBank	DrugBank transporter proteins transformer	infores:drugbank	biolink:primary_knowledge_source
DrugBank	DrugBank carrier proteins transformer	infores:drugbank	biolink:primary_knowledge_source
DrugCentral	DrugCentral compounds producer	infores:drugcentral	biolink:primary_knowledge_source
DrugCentral	DrugCentral disease producer	infores:drugcentral	biolink:primary_knowledge_source
DrugCentral	DrugCentral indications transformer	infores:drugcentral	biolink:primary_knowledge_source
GeLiNEA	Gene-list network enrichment analysis	infores:gelinea	biolink:original_knowledge_source
GtoPdb	GtoPdb compound-list producer	infores:gtopdb	biolink:primary_knowledge_source
GtoPdb	GtoPdb target transformer	infores:gtopdb	biolink:primary_knowledge_source
GtoPdb	GtoPdb inhibitors transformer	infores:gtopdb	biolink:primary_knowledge_source
HGNC	HGNC gene-list producer	infores:hgnc	biolink:primary_knowledge_source
HMDB	HMDB metabolite producer	infores:hmdb	biolink:primary_knowledge_source
HMDB	HMDB disorders transformer	infores:hmdb	biolink:primary_knowledge_source
HMDB	HMDB target transformer	infores:hmdb	biolink:primary_knowledge_source
intersection	intersection	infores:molepro	biolink:aggregator_knowledge_source
Inxight:Drugs	Inxight:Drugs substance-list producer	infores:inxight-drugs	biolink:primary_knowledge_source
Inxight:Drugs	Inxight:Drugs drug producer	infores:inxight-drugs	biolink:primary_knowledge_source
Inxight:Drugs	Inxight:Drugs relationship transformer	infores:inxight-drugs	biolink:primary_knowledge_source
Inxight:Drugs	Inxight:Drugs active ingredients transformer	infores:inxight-drugs	biolink:primary_knowledge_source
MSigDB exporter	MSigDB hypergeometric enrichment exporter	infores:msigdb	biolink:primary_knowledge_source
Pharos	Pharos target genes transformer	infores:pharos	biolink:primary_knowledge_source
ProbeMiner	ProbeMiner compound-list producer	infores:probe-miner	biolink:primary_knowledge_source
ProbeMiner	ProbeMiner chemical interactions transformer	infores:probe-miner	biolink:primary_knowledge_source
ProbeMiner	ProbeMiner protein interactions transformer	infores:probe-miner	biolink:primary_knowledge_source
PubChem	Pubchem compound-list producer	infores:pubchem	biolink:primary_knowledge_source
Repurposing	Repurposing Hub compound-list producer	infores:drug-repurposing-hub	biolink:primary_knowledge_source
Repurposing	Repurposing Hub indication transformer	infores:drug-repurposing-hub	biolink:primary_knowledge_source
Repurposing	Repurposing Hub target transformer	infores:drug-repurposing-hub	biolink:primary_knowledge_source
RxNorm	RxNorm compound-list producer	infores:rxnorm	biolink:primary_knowledge_source
RxNorm	RxNorm drug-list producer	infores:rxnorm	biolink:primary_knowledge_source
RxNorm	RxNorm drug relation info	infores:rxnorm	biolink:primary_knowledge_source
STITCH	STITCH compound-list producer	infores:stitch	biolink:primary_knowledge_source
STITCH	STITCH link transformer	infores:stitch	biolink:primary_knowledge_source
