source	name	srcType	mappedAttrType	mappedValueType
BiGG	MOLECULAR_FORMULA	MOLECULAR_FORMULA	biolink:has_chemical_formula	String
BiGG Model	name	name	biolink:symbol	String
CMAP	CMAP similarity score	CMAP similarity score	CMAP:similarity_score	Double
CMAP	reference	reference	biolink:Publication	biolink:Publication
CMAP	about CMAP	about CMAP	SIO:000811	Uri
CMAP	CMAP touchstone data version	CMAP touchstone data version	SIO:000653	String
ChEMBL	met_conversion	met_conversion	metabolic conversion	String
ChEMBL	met_comment	met_comment	metabolic conversion comment	String
ChEMBL	enzyme_type	enzyme_type	OBI:0000427	String
ChEMBL	mechanism_of_action	mechanism_of_action	biolink:mechanism_of_action	String
ChEMBL	biolink:Publication	biolink:Publication	biolink:Publication	Uriorcurie
ChEMBL	biolink:FDA_approval_status	biolink:FDA_approval_status	biolink:highest_FDA_approval_status	String
HMDB	reference	biolink:publication	biolink:Publication	Uriorcurie
HMDB	general_references	biolink:publication	biolink:Publication	Uriorcurie
HMDB	synthesis_reference	biolink:publication	biolink:Publication	Uriorcurie
HMDB	chemical_formula	chemical_formula	biolink:has_chemical_formula	String
HMDB	biolink:primary_knowledge_source	biolink:primary_knowledge_source	biolink:primary_knowledge_source	biolink:InformationResource
MSigDB	PMID	biolink:publication	biolink:Publication	Uriorcurie
CTD	pubmedids	biolink:Publication	biolink:Publication	Uriorcurie
CTD	ReferencePMIDs	biolink:Publication	biolink:Publication	Uriorcurie
CTD	biolink:Publication	biolink:Publication	biolink:Publication	Uriorcurie
CTD	Relation	Relation	biolink:relation	String
CTD	PValue	biolink:p_value	biolink:p_value	Double
CTD	CorrectedPValue	biolink:adjusted_p_value	biolink:adjusted_p_value	Double
CTD	organismid	biolink:OrganismTaxon	biolink:in_taxon	Uriorcurie
CTRP	correlation	correlation	SIO:000923	Double
CTRP	z-score	z-score	NCIT:C68741	Double
CTRP	FDR	FDR	OBI:0200163	Double
CTRP	sample size	sample size	NCIT:C53190	Integer
CTRP	reference	reference	biolink:Publication	biolink:Publication
GtoPdb	TARGET_ID	TARGET_ID		
GtoPdb	TARGET_SPECIES	TARGET_SPECIES	biolink:in_taxon	String
GtoPdb	LIGAND_ID	LIGAND_ID		
GtoPdb	TYPE	TYPE	TYPE	String
GtoPdb	ACTION	ACTION	ACTION	String
GtoPdb	ACTION_COMMENT	ACTION_COMMENT	ACTION_COMMENT	String
GtoPdb	SELECTIVITY	SELECTIVITY	SELECTIVITY	String
GtoPdb	ENDOGENOUS	ENDOGENOUS	ENDOGENOUS	String
GtoPdb	AFFINITY_UNITS	AFFINITY_UNITS	AFFINITY_UNITS	String
GtoPdb	AFFINITY_MEDIAN	AFFINITY_MEDIAN	AFFINITY_MEDIAN	String
GtoPdb	PUBMED_ID	PUBMED_ID	biolink:Publication	Uriorcurie
GtoPdb	ORIGINAL_AFFINITY_UNITS	ORIGINAL_AFFINITY_UNITS	ORIGINAL_AFFINITY_UNITS	String
GtoPdb	APPROVED	APPROVED	biolink:highest_FDA_approval_status	String
DGIdb	publication	IAO:0000311	biolink:Publication	Uriorcurie
Drug Repurposing Hub	clinical_phase	clinical_phase	biolink:highest_FDA_approval_status	String
Drug Repurposing Hub	moa	moa	biolink:mechanism_of_action	String
DrugBank	group	group	biolink:highest_FDA_approval_status	String
DrugBank	calculated-properties/Molecular Formula	calculated-properties/Molecular Formula	biolink:has_chemical_formula	String
DrugBank	experimental-properties/Molecular Formula	experimental-properties/Molecular Formula	biolink:has_chemical_formula	String
DrugBank	attachment	biolink:Publication	biolink:Publication	Uriorcurie
DrugBank	link	biolink:Publication	biolink:Publication	Uriorcurie
Pharos	publication	biolink:publication	biolink:Publication	Uriorcurie
Pharos	symbol	symbol	biolink:symbol	String
ProbeMiner	aggregator_knowledge_source	biolink:aggregator_knowledge_source	biolink:primary_knowledge_source	biolink:InformationResource
PubChem	MOLECULAR_FORMULA	MOLECULAR_FORMULA	biolink:has_chemical_formula	String
PubChem	biolink:original_knowledge_source	biolink:original_knowledge_source	biolink:primary_knowledge_source	biolink:InformationResource
infores:molepro	aggregator_knowledge_source	biolink:aggregator_knowledge_source	biolink:primary_knowledge_source	biolink:InformationResource
