source	predicate	relation	attributeName	attributeValue	biolinkPredicate	inversePredicate	qualifiedPredicate	qualifier_1	qualifier_2	qualifier_3	qualifier_4
BiGG Model	biolink:participates_in		compartment	BIGG.COMPARTMENT:c	biolink:participates_in	biolink:has_participant		anatomical_context_qualifier:cytosol			
BiGG Model	biolink:participates_in		compartment	BIGG.COMPARTMENT:e	biolink:participates_in	biolink:has_participant		anatomical_context_qualifier:extracellular_space			
BiGG Model	biolink:participates_in		compartment	BIGG.COMPARTMENT:m	biolink:participates_in	biolink:has_participant		anatomical_context_qualifier:mitochondria			
BiGG Model	biolink:participates_in		compartment	BIGG.COMPARTMENT:x	biolink:participates_in	biolink:has_participant		anatomical_context_qualifier:peroxisome/glyoxysome			
BiGG Model	biolink:participates_in		compartment	BIGG.COMPARTMENT:g	biolink:participates_in	biolink:has_participant		anatomical_context_qualifier:golgi_apparatus			
BiGG Model	biolink:participates_in		compartment	BIGG.COMPARTMENT:r	biolink:participates_in	biolink:has_participant		anatomical_context_qualifier:endoplasmic_reticulum			
BiGG Model	biolink:participates_in		compartment	BIGG.COMPARTMENT:n	biolink:participates_in	biolink:has_participant		anatomical_context_qualifier:nucleus			
BiGG Model	biolink:participates_in		compartment	BIGG.COMPARTMENT:l	biolink:participates_in	biolink:has_participant		anatomical_context_qualifier:lysosome			
BiGG Model	biolink:is_input		compartment	BIGG.COMPARTMENT:c	biolink:is_input	biolink:has_input		anatomical_context_qualifier:cytosol			
BiGG Model	biolink:is_output		compartment	BIGG.COMPARTMENT:l	biolink:is_output	biolink:has_output		anatomical_context_qualifier:lysosome			
BiGG Model	biolink:is_output		compartment	BIGG.COMPARTMENT:m	biolink:is_output	biolink:has_output		anatomical_context_qualifier:mitochondria			
BiGG Model	biolink:is_input		compartment	BIGG.COMPARTMENT:m	biolink:is_input	biolink:has_input		anatomical_context_qualifier:mitochondria			
BiGG Model	biolink:is_output		compartment	BIGG.COMPARTMENT:c	biolink:is_output	biolink:has_output		anatomical_context_qualifier:cytosol			
BiGG Model	biolink:is_input		compartment	BIGG.COMPARTMENT:e	biolink:is_input	biolink:has_input		anatomical_context_qualifier:extracellular_space			
BiGG Model	biolink:is_output		compartment	BIGG.COMPARTMENT:x	biolink:is_output	biolink:has_output		anatomical_context_qualifier:peroxisome/glyoxysome			
BiGG Model	biolink:is_input		compartment	BIGG.COMPARTMENT:r	biolink:is_input	biolink:has_input		anatomical_context_qualifier:endoplasmic_reticulum			
BiGG Model	biolink:is_output		compartment	BIGG.COMPARTMENT:r	biolink:is_output	biolink:has_output		anatomical_context_qualifier:endoplasmic_reticulum			
BiGG Model	biolink:is_input		compartment	BIGG.COMPARTMENT:x	biolink:is_input	biolink:has_input		anatomical_context_qualifier:peroxisome/glyoxysome			
BiGG Model	biolink:is_input		compartment	BIGG.COMPARTMENT:l	biolink:is_input	biolink:has_input		anatomical_context_qualifier:lysosome			
BiGG Model	biolink:is_output		compartment	BIGG.COMPARTMENT:e	biolink:is_output	biolink:has_output		anatomical_context_qualifier:extracellular_space			
BiGG Model	biolink:is_input		compartment	BIGG.COMPARTMENT:g	biolink:is_input	biolink:has_input		anatomical_context_qualifier:golgi_apparatus			
BiGG Model	biolink:is_output		compartment	BIGG.COMPARTMENT:g	biolink:is_output	biolink:has_output		anatomical_context_qualifier:golgi_apparatus			
BiGG Model	biolink:is_input		compartment	BIGG.COMPARTMENT:n	biolink:is_input	biolink:has_input		anatomical_context_qualifier:nucleus			
BiGG Model	biolink:is_output		compartment	BIGG.COMPARTMENT:n	biolink:is_output	biolink:has_output		anatomical_context_qualifier:nucleus			
BiGG Model	biolink:participates_in				biolink:participates_in	biolink:has_participant					
BiGG Model	biolink:is_input				biolink:is_input	biolink:has_input					
BiGG Model	biolink:is_output				biolink:is_output	biolink:has_output					
BiGG Model	biolink:has_input				biolink:has_input	biolink:is_input					
BiGG Model	biolink:has_output				biolink:has_output	biolink:is_output					
BiGG Model	biolink:has_participant				biolink:has_participant	biolink:participates_in					
CMAP	biolink:correlated_with				biolink:correlated_with	biolink:correlated_with					
CMAP	correlated_with				biolink:correlated_with	biolink:correlated_with					
